Time [s],Packet ID,MOSI,MISO
24.0479800000,5229,0x11,
24.0482965000,5230,0x3F,
24.0485515000,5230,0xCF,
24.0488315000,5230,0x06,
24.0490815000,5230,0x4F,
24.0493215000,5230,0x44,
24.0495510000,5230,0x17,
24.0498605000,5231,0x12,
24.0501770000,5232,0x3F,
24.0504325000,5232,0xCF,
24.0507445000,5232,0x06,
24.0509940000,5232,0x4F,
24.0514050000,5232,0x44,
24.0516345000,5232,0x17,
24.0519440000,5233,0x13,
24.0522940000,5234,0x3F,
24.0525495000,5234,0xCF,
24.0528290000,5234,0x06,
24.0530790000,5234,0x4F,
24.0533190000,5234,0x44,
24.0535485000,5234,0x17,
24.0538575000,5235,0x14,
24.0541745000,5236,0x3F,
24.0544300000,5236,0xCF,
24.0547420000,5236,0x06,
24.0549920000,5236,0x4F,
24.0551995000,5236,0x44,
24.0554295000,5236,0x17,
24.0557715000,5237,0x15,
24.0561680000,5238,0x3F,
24.0564235000,5238,0xCF,
24.0567035000,5238,0x06,
24.0569535000,5238,0x4F,
24.0571935000,5238,0x44,
24.0574230000,5238,0x17,
24.0577655000,5239,0x00,
24.0580785000,5240,0x3F,
24.0583335000,5240,0xBF,
24.0586155000,5240,0x3F,
24.0588675000,5240,0x3F,
24.0591075000,5240,0x04,
24.0593355000,5240,0x07,
24.0596440000,5241,0x01,
24.0599590000,5242,0x3F,
24.0602145000,5242,0xBF,
24.0605285000,5242,0x3F,
24.0607810000,5242,0x3F,
24.0610210000,5242,0x04,
24.0614180000,5242,0x07,
24.0617585000,5243,0x02,
24.0620735000,5244,0x3F,
24.0623285000,5244,0xBF,
24.0626105000,5244,0x3F,
24.0628625000,5244,0x3F,
24.0631030000,5244,0x04,
24.0633305000,5244,0x07,
24.0636390000,5245,0x03,
24.0639555000,5246,0x3F,
24.0642110000,5246,0xBF,
24.0645255000,5246,0x3F,
24.0647770000,5246,0x3F,
24.0650170000,5246,0x04,
24.0652125000,5246,0x07,
24.0655530000,5247,0x04,
24.0658680000,5248,0x3F,
24.0662015000,5248,0xBF,
24.0664825000,5248,0x3F,
24.0667345000,5248,0x3F,
24.0669750000,5248,0x04,
24.0672030000,5248,0x07,
24.0675310000,5249,0x05,
24.0677225000,5249,0xA0,
24.0679805000,5250,0xFF,
24.0682250000,5251,0xFF,
24.0685470000,5251,0xFF,
24.1468815000,5251,0xFC,
24.1471300000,5251,0xE6,
24.1474120000,5251,0xDA,
24.1476615000,5251,0xFD,
24.1479445000,5251,0x00,
24.1481880000,5251,0x00,
24.1485050000,5251,0xFE,
24.1487590000,5251,0xFD,
24.1490440000,5251,0xE6,
24.1492930000,5251,0x00,
24.1495700000,5251,0x00,
24.1498165000,5251,0x00,
24.1500380000,5251,0x20,
24.1504140000,5252,0x10,
24.1507615000,5253,0x3F,
24.1510165000,5253,0xCF,
24.1514980000,5253,0x06,
24.1517480000,5253,0x4F,
24.1519560000,5253,0x44,
24.1521850000,5253,0x17,
24.1525270000,5254,0x11,
24.1528430000,5255,0x3F,
24.1530985000,5255,0xCF,
24.1533790000,5255,0x06,
24.1536285000,5255,0x4F,
24.1538685000,5255,0x44,
24.1540980000,5255,0x17,
24.1544080000,5256,0x12,
24.1547560000,5257,0x3F,
24.1550110000,5257,0xCF,
24.1552910000,5257,0x06,
24.1555405000,5257,0x4F,
24.1557805000,5257,0x44,
24.1560100000,5257,0x17,
24.1563985000,5258,0x13,
24.1567165000,5259,0x3F,
24.1569715000,5259,0xCF,
24.1572845000,5259,0x06,
24.1575340000,5259,0x4F,
24.1577735000,5259,0x44,
24.1579710000,5259,0x17,
24.1583125000,5260,0x14,
24.1586290000,5261,0x3F,
24.1588840000,5261,0xCF,
24.1591640000,5261,0x06,
24.1594140000,5261,0x4F,
24.1596540000,5261,0x44,
24.1598835000,5261,0x17,
24.1601930000,5262,0x15,
24.1605435000,5263,0x3F,
24.1607990000,5263,0xCF,
24.1610790000,5263,0x06,
24.1615310000,5263,0x4F,
24.1617710000,5263,0x44,
24.1619685000,5263,0x17,
24.1623100000,5264,0x00,
24.1626235000,5265,0x3F,
24.1628790000,5265,0xBF,
24.1631610000,5265,0x3F,
24.1634130000,5265,0x3F,
24.1636530000,5265,0x04,
24.1638810000,5265,0x07,
24.1641895000,5266,0x01,
24.1645370000,5267,0x3F,
24.1647920000,5267,0xBF,
24.1650735000,5267,0x3F,
24.1653250000,5267,0x3F,
24.1655650000,5267,0x04,
24.1657930000,5267,0x07,
24.1661015000,5268,0x02,
24.1664945000,5269,0x3F,
24.1667495000,5269,0xBF,
24.1670640000,5269,0x3F,
24.1673160000,5269,0x3F,
24.1675560000,5269,0x04,
24.1677515000,5269,0x07,
24.1680915000,5270,0x03,
24.1684080000,5271,0x3F,
24.1686630000,5271,0xBF,
24.1689445000,5271,0x3F,
24.1691970000,5271,0x3F,
24.1694370000,5271,0x04,
24.1696650000,5271,0x07,
24.1699735000,5272,0x04,
24.1703210000,5273,0x3F,
24.1705760000,5273,0xBF,
24.1708580000,5273,0x3F,
24.1711100000,5273,0x3F,
24.1715505000,5273,0x04,
24.1717460000,5273,0x07,
24.1720735000,5274,0x05,
24.1722650000,5274,0xA0,
24.1725560000,5275,0xFF,
24.1728005000,5276,0xFF,
24.1730905000,5276,0xFF,
24.2707715000,5276,0xFC,
24.2710200000,5276,0xE6,
24.2715125000,5276,0xDA,
24.2717625000,5276,0xFD,
24.2720855000,5276,0x00,
24.2723295000,5276,0x00,
24.2726225000,5276,0xFE,
24.2728765000,5276,0xFD,
24.2731695000,5276,0xE6,
24.2734185000,5276,0x00,
24.2737035000,5276,0x00,
24.2739505000,5276,0x00,
24.2741720000,5276,0x20,
24.2745810000,5277,0x10,
24.2749040000,5278,0x3F,
24.2751590000,5278,0xCF,
24.2754475000,5278,0x06,
24.2756970000,5278,0x4F,
24.2759375000,5278,0x44,
24.2761670000,5278,0x17,
24.2765875000,5279,0x11,
24.2769115000,5280,0x3F,
24.2771670000,5280,0xCF,
24.2774550000,5280,0x06,
24.2777050000,5280,0x4F,
24.2779450000,5280,0x44,
24.2781745000,5280,0x17,
24.2784840000,5281,0x12,
24.2788410000,5282,0x3F,
24.2790960000,5282,0xCF,
24.2793835000,5282,0x06,
24.2796330000,5282,0x4F,
24.2798735000,5282,0x44,
24.2801025000,5282,0x17,
24.2804120000,5283,0x13,
24.2807380000,5284,0x3F,
24.2809935000,5284,0xCF,
24.2814845000,5284,0x06,
24.2817340000,5284,0x4F,
24.2819745000,5284,0x44,
24.2822035000,5284,0x17,
24.2825135000,5285,0x14,
24.2828705000,5286,0x3F,
24.2831250000,5286,0xCF,
24.2834130000,5286,0x06,
24.2836630000,5286,0x4F,
24.2839030000,5286,0x44,
24.2841320000,5286,0x17,
24.2844415000,5287,0x15,
24.2847680000,5288,0x3F,
24.2850235000,5288,0xCF,
24.2853440000,5288,0x06,
24.2855930000,5288,0x4F,
24.2858010000,5288,0x44,
24.2860305000,5288,0x17,
24.2864520000,5289,0x00,
24.2867735000,5290,0x3F,
24.2870285000,5290,0xBF,
24.2873510000,5290,0x3F,
24.2876025000,5290,0x3F,
24.2878105000,5290,0x04,
24.2880380000,5290,0x07,
24.2883790000,5291,0x01,
24.2887020000,5292,0x3F,
24.2889575000,5292,0xBF,
24.2892475000,5292,0x3F,
24.2894995000,5292,0x3F,
24.2897395000,5292,0x04,
24.2899675000,5292,0x07,
24.2902760000,5293,0x02,
24.2906310000,5294,0x3F,
24.2908865000,5294,0xBF,
24.2911765000,5294,0x3F,
24.2916285000,5294,0x3F,
24.2918685000,5294,0x04,
24.2920640000,5294,0x07,
24.2924050000,5295,0x03,
24.2927295000,5296,0x3F,
24.2929850000,5296,0xBF,
24.2932750000,5296,0x3F,
24.2935270000,5296,0x3F,
24.2937675000,5296,0x04,
24.2939950000,5296,0x07,
24.2943040000,5297,0x04,
24.2946585000,5298,0x3F,
24.2949140000,5298,0xBF,
24.2952040000,5298,0x3F,
24.2954560000,5298,0x3F,
24.2956960000,5298,0x04,
24.2959240000,5298,0x07,
24.2962970000,5299,0x05,
24.2965205000,5299,0xA0,
24.2967790000,5300,0xFF,
24.2970230000,5301,0xFF,
24.2973130000,5301,0xFF,
24.3629445000,5301,0xFC,
24.3631930000,5301,0xE6,
24.3634830000,5301,0xDA,
24.3637325000,5301,0xFD,
24.3640560000,5301,0x00,
24.3643000000,5301,0x00,
24.3645930000,5301,0xFE,
24.3648465000,5301,0xFD,
24.3651395000,5301,0xE6,
24.3653880000,5301,0x00,
24.3656730000,5301,0x00,
24.3659200000,5301,0x00,
24.3661420000,5301,0x20,
24.3666300000,5302,0x10,
24.3669530000,5303,0x3F,
24.3672085000,5303,0xCF,
24.3674970000,5303,0x06,
24.3677465000,5303,0x4F,
24.3679865000,5303,0x44,
24.3682160000,5303,0x17,
24.3685260000,5304,0x11,
24.3688825000,5305,0x3F,
24.3691380000,5305,0xCF,
24.3694265000,5305,0x06,
24.3696760000,5305,0x4F,
24.3699160000,5305,0x44,
24.3701455000,5305,0x17,
24.3704555000,5306,0x12,
24.3707795000,5307,0x3F,
24.3710350000,5307,0xCF,
24.3715270000,5307,0x06,
24.3717765000,5307,0x4F,
24.3720165000,5307,0x44,
24.3722460000,5307,0x17,
24.3725885000,5308,0x13,
24.3729140000,5309,0x3F,
24.3731695000,5309,0xCF,
24.3734580000,5309,0x06,
24.3737075000,5309,0x4F,
24.3739480000,5309,0x44,
24.3741775000,5309,0x17,
24.3744870000,5310,0x14,
24.3748435000,5311,0x3F,
24.3750985000,5311,0xCF,
24.3753860000,5311,0x06,
24.3756360000,5311,0x4F,
24.3758760000,5311,0x44,
24.3761055000,5311,0x17,
24.3764950000,5312,0x15,
24.3768530000,5313,0x3F,
24.3771080000,5313,0xCF,
24.3773960000,5313,0x06,
24.3776460000,5313,0x4F,
24.3778865000,5313,0x44,
24.3781160000,5313,0x17,
24.3784250000,5314,0x00,
24.3787460000,5315,0x3F,
24.3790015000,5315,0xBF,
24.3792915000,5315,0x3F,
24.3795435000,5315,0x3F,
24.3797840000,5315,0x04,
24.3800115000,5315,0x07,
24.3803530000,5316,0x01,
24.3806760000,5317,0x3F,
24.3809310000,5317,0xBF,
24.3812210000,5317,0x3F,
24.3816750000,5317,0x3F,
24.3819150000,5317,0x04,
24.3821430000,5317,0x07,
