[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:11] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:12] MSG:MsgCubesphereStatus {"event":"HB_FAILED","nozzle_idx":0,"device_uuid":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:13] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:14] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:14] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:30:19] MSG:MsgTimeStatus {"epoch":1778351419,"source":3,"valid":true}
[2026-05-09 18:31:04] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:04] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:31:04] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:04] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:04] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:05] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:05] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:31:05] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:31:05] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:31:05] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:31:05] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:31:06] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:06] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:31:07] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
