Time [s],Packet ID,MOSI,MISO,Actual Value
32.2025405000,6900,0xE7,,9.
32.2028245000,6900,0xF2,,3
32.2030735000,6900,0x00,,
32.2033505000,6900,0x00,,
32.2035975000,6900,0x00,,
32.2038980000,6900,0x20,,
32.2043070000,6901,0x10,,
32.2046215000,6902,0x3F,,
32.2048770000,6902,0xCF,,
32.2051570000,6902,0x06,,
32.2054065000,6902,0x4F,,
32.2056470000,6902,0x44,,
32.2058765000,6902,0x17,,
32.2062185000,6903,0x11,,
32.2065345000,6904,0x3F,,
32.2067900000,6904,0xCF,,
32.2070700000,6904,0x06,,
32.2073200000,6904,0x4F,,
32.2075600000,6904,0x44,,
32.2077895000,6904,0x17,,
32.2080990000,6905,0x12,,
32.2084155000,6906,0x3F,,
32.2086710000,6906,0xCF,,
32.2091530000,6906,0x06,,
32.2094025000,6906,0x4F,,
32.2096425000,6906,0x44,,
32.2098720000,6906,0x17,,
32.2101815000,6907,0x13,,
32.2105320000,6908,0x3F,,
32.2107870000,6908,0xCF,,
32.2110670000,6908,0x06,,
32.2113165000,6908,0x4F,,
32.2115570000,6908,0x44,,
32.2117865000,6908,0x17,,
32.2120955000,6909,0x14,,
32.2124120000,6910,0x3F,,
32.2126675000,6910,0xCF,,
32.2129800000,6910,0x06,,
32.2131975000,6910,0x4F,,
32.2134375000,6910,0x44,,
32.2136670000,6910,0x17,,
32.2140885000,6911,0x15,,
32.2144070000,6912,0x3F,,
32.2146620000,6912,0xCF,,
32.2149420000,6912,0x06,,
32.2151920000,6912,0x4F,,
32.2154320000,6912,0x44,,
32.2156615000,6912,0x17,,
32.2160035000,6913,0x00,,
32.2163170000,6914,0x3F,,
32.2165720000,6914,0xBF,,
32.2168540000,6914,0x3F,,
32.2171060000,6914,0x3F,,
32.2173465000,6914,0x04,,
32.2175740000,6914,0x07,,
32.2178825000,6915,0x01,,
32.2181975000,6916,0x3F,,
32.2184530000,6916,0xBF,,
32.2187670000,6916,0x3F,,
32.2191885000,6916,0x3F,,
32.2194290000,6916,0x04,,
32.2196565000,6916,0x07,,
32.2199655000,6917,0x02,,
32.2203125000,6918,0x3F,,
32.2205680000,6918,0xBF,,
32.2208500000,6918,0x3F,,
32.2211020000,6918,0x3F,,
32.2213420000,6918,0x04,,
32.2215700000,6918,0x07,,
32.2218785000,6919,0x03,,
32.2221950000,6920,0x3F,,
32.2224505000,6920,0xBF,,
32.2227645000,6920,0x3F,,
32.2230170000,6920,0x3F,,
32.2232570000,6920,0x04,,
32.2234525000,6920,0x07,,
32.2238710000,6921,0x04,,
32.2241855000,6922,0x3F,,
32.2244410000,6922,0xBF,,
32.2247225000,6922,0x3F,,
32.2249750000,6922,0x3F,,
32.2252150000,6922,0x04,,
32.2254430000,6922,0x07,,
32.2257710000,6923,0x05,,
32.2259625000,6923,0xA0,,
32.2262205000,6924,0xFF,,
32.2264650000,6925,0xFF,,
32.2267870000,6925,0xFF,,
32.3307220000,6925,0xE0,,7
32.3309680000,6925,0xDA,,2
32.3312895000,6925,0x60,,1
32.3315055000,6925,0xFD,,0.
32.3318290000,6925,0x00,,
32.3320725000,6925,0x00,,
32.3323650000,6925,0xFE,,8
32.3326185000,6925,0xE7,,9.
32.3329110000,6925,0xF2,,3
32.3331600000,6925,0x00,,
32.3334450000,6925,0x00,,
32.3336920000,6925,0x00,,
32.3339930000,6925,0x20,,
32.3344015000,6926,0x10,,
32.3347240000,6927,0x3F,,
32.3349795000,6927,0xCF,,
32.3353000000,6927,0x06,,
32.3355175000,6927,0x4F,,
32.3357575000,6927,0x44,,
32.3359870000,6927,0x17,,
32.3363290000,6928,0x11,,
32.3366535000,6929,0x3F,,
32.3369090000,6929,0xCF,,
32.3371975000,6929,0x06,,
32.3374470000,6929,0x4F,,
32.3376875000,6929,0x44,,
32.3379170000,6929,0x17,,
32.3382265000,6930,0x12,,
32.3385835000,6931,0x3F,,
32.3388390000,6931,0xCF,,
32.3393590000,6931,0x06,,
32.3396090000,6931,0x4F,,
32.3398490000,6931,0x44,,
32.3400780000,6931,0x17,,
32.3403875000,6932,0x13,,
32.3407140000,6933,0x3F,,
32.3409690000,6933,0xCF,,
32.3412575000,6933,0x06,,
32.3415070000,6933,0x4F,,
32.3417475000,6933,0x44,,
32.3419770000,6933,0x17,,
32.3423185000,6934,0x14,,
32.3426435000,6935,0x3F,,
32.3428990000,6935,0xCF,,
32.3431870000,6935,0x06,,
32.3434365000,6935,0x4F,,
32.3436770000,6935,0x44,,
32.3439860000,6935,0x17,,
32.3443280000,6936,0x15,,
32.3446540000,6937,0x3F,,
32.3449100000,6937,0xCF,,
32.3451980000,6937,0x06,,
32.3454475000,6937,0x4F,,
32.3456880000,6937,0x44,,
32.3459175000,6937,0x17,,
32.3462275000,6938,0x00,,
32.3465810000,6939,0x3F,,
32.3468360000,6939,0xBF,,
32.3471260000,6939,0x3F,,
32.3473775000,6939,0x3F,,
32.3476180000,6939,0x04,,
32.3478455000,6939,0x07,,
32.3481545000,6940,0x01,,
32.3484770000,6941,0x3F,,
32.3487325000,6941,0xBF,,
32.3492240000,6941,0x3F,,
32.3494760000,6941,0x3F,,
32.3497165000,6941,0x04,,
32.3499440000,6941,0x07,,
32.3502530000,6942,0x02,,
32.3506075000,6943,0x3F,,
32.3508630000,6943,0xBF,,
32.3511520000,6943,0x3F,,
32.3514045000,6943,0x3F,,
32.3516445000,6943,0x04,,
32.3518715000,6943,0x07,,
32.3521800000,6944,0x03,,
32.3525045000,6945,0x3F,,
32.3527600000,6945,0xBF,,
32.3530495000,6945,0x3F,,
32.3533020000,6945,0x3F,,
32.3535420000,6945,0x04,,
32.3537700000,6945,0x07,,
32.3541890000,6946,0x04,,
32.3545120000,6947,0x3F,,
32.3547675000,6947,0xBF,,
32.3550575000,6947,0x3F,,
32.3553095000,6947,0x3F,,
32.3555500000,6947,0x04,,
32.3557775000,6947,0x07,,
32.3561060000,6948,0x05,,
32.3562975000,6948,0xA0,,
32.3565555000,6949,0xFF,,
32.3567995000,6950,0xFF,,
32.3571210000,6950,0xFF,,
32.4552705000,6950,0xE0,,7
32.4555165000,6950,0xDA,,2
32.4558060000,6950,0x60,,1
32.4560540000,6950,0xFD,,0.
32.4563765000,6950,0x00,,
32.4566200000,6950,0x00,,
32.4569125000,6950,0xFE,,8
32.4571665000,6950,0xE7,,9.
32.4574590000,6950,0xF2,,3
32.4577075000,6950,0x00,,
32.4579925000,6950,0x00,,
32.4582395000,6950,0x00,,
32.4584610000,6950,0x20,,
32.4588380000,6951,0x10,,
32.4593955000,6952,0x3F,,
32.4596500000,6952,0xCF,,
32.4599380000,6952,0x06,,
32.4601875000,6952,0x4F,,
32.4604275000,6952,0x44,,
32.4606570000,6952,0x17,,
32.4609665000,6953,0x11,,
32.4612910000,6954,0x3F,,
32.4615465000,6954,0xCF,,
32.4618345000,6954,0x06,,
32.4620840000,6954,0x4F,,
32.4623245000,6954,0x44,,
32.4625540000,6954,0x17,,
32.4628960000,6955,0x12,,
32.4632205000,6956,0x3F,,
32.4634760000,6956,0xCF,,
32.4637640000,6956,0x06,,
32.4640930000,6956,0x4F,,
32.4643330000,6956,0x44,,
32.4645625000,6956,0x17,,
32.4649045000,6957,0x13,,
32.4652310000,6958,0x3F,,
32.4654860000,6958,0xCF,,
32.4657740000,6958,0x06,,
32.4660240000,6958,0x4F,,
32.4662640000,6958,0x44,,
32.4664935000,6958,0x17,,
32.4668030000,6959,0x14,,
32.4671600000,6960,0x3F,,
32.4674150000,6960,0xCF,,
32.4677030000,6960,0x06,,
32.4679520000,6960,0x4F,,
32.4681925000,6960,0x44,,
32.4684215000,6960,0x17,,
32.4687315000,6961,0x15,,
32.4692590000,6962,0x3F,,
32.4695145000,6962,0xCF,,
32.4698025000,6962,0x06,,
32.4700525000,6962,0x4F,,
32.4702925000,6962,0x44,,
32.4705220000,6962,0x17,,
32.4708320000,6963,0x00,,
32.4711860000,6964,0x3F,,
32.4714415000,6964,0xBF,,
32.4717310000,6964,0x3F,,
32.4719835000,6964,0x3F,,
32.4722235000,6964,0x04,,
32.4724510000,6964,0x07,,
32.4727590000,6965,0x01,,
32.4730825000,6966,0x3F,,
32.4733375000,6966,0xBF,,
32.4736275000,6966,0x3F,,
32.4738795000,6966,0x3F,,
32.4742315000,6966,0x04,,
32.4744590000,6966,0x07,,
32.4747675000,6967,0x02,,
32.4750900000,6968,0x3F,,
32.4753455000,6968,0xBF,,
32.4756675000,6968,0x3F,,
32.4759195000,6968,0x3F,,
32.4761275000,6968,0x04,,
32.4763545000,6968,0x07,,
32.4766955000,6969,0x03,,
32.4770200000,6970,0x3F,,
